Segmentation,LeftSpeed,RightSpeed,HeadSpeed,LeftAccel,RightAccel,HeadAccel,RightLeftDist,LeftHeadDist,RightHeadDist
9,0.286,0.104,0.092,0.216,0.091,0.07,13.881,25.105,20.179
2,0.182,0.115,0.042,0.16,0.106,0.042,9.702,21.557,20.554
1,0.106,0.247,0.086,0.088,0.181,0.059,7.169,21.42,21.776
3,0.62,0.108,0.145,0.424,0.072,0.121,8.806,21.212,21.902
5,0.263,0.233,0.071,0.255,0.182,0.062,9.546,22.603,20.542
3,0.07,0.177,0.028,0.075,0.141,0.029,8.283,22.273,20.43
2,0.236,0.103,0.052,0.184,0.087,0.055,7.195,21.713,22.151
9,0.413,0.494,0.102,0.366,0.37,0.094,13.572,21.395,21.512
4,0.377,0.185,0.064,0.34,0.156,0.053,12.151,19.7,21.362
0,0.391,0.163,0.08,0.321,0.123,0.054,10.269,22.128,21.543
3,0.143,0.088,0.034,0.105,0.075,0.034,9.358,23.964,20.93
0,0.138,0.101,0.029,0.12,0.112,0.032,8.507,23.002,19.858
1,0.094,0.065,0.016,0.083,0.06,0.027,8.36,22.592,20.275
1,0.191,0.071,0.012,0.14,0.056,0.016,8.412,21.956,20.746
8,0.273,0.246,0.026,0.209,0.216,0.026,12.779,21.48,21.16
3,0.26,0.219,0.05,0.229,0.185,0.047,15.414,15.018,17.197
3,0.243,0.301,0.085,0.176,0.236,0.066,15.866,17.202,15.419
8,0.436,0.319,0.052,0.278,0.296,0.055,10.97,21.425,21.18
5,0.247,0.146,0.038,0.189,0.096,0.038,8.479,21.327,21.241
7,0.528,0.488,0.154,0.502,0.56,0.147,15.387,23.173,20.79
4,0.414,0.134,0.16,0.406,0.139,0.145,14.457,24.148,20.305
4,0.105,0.017,0.21,0.126,0.022,0.13,9.993,19.554,16.654
1,0.044,0.005,0.047,0.041,0.007,0.034,9.824,17.54,14.667
3,0.047,0.004,0.017,0.049,0.006,0.015,9.677,17.446,14.435
0,0.048,0.003,0.012,0.053,0.007,0.014,9.612,17.505,14.342
5,0.094,0.004,0.022,0.12,0.006,0.023,9.722,17.492,14.377
2,0.143,0.004,0.019,0.183,0.007,0.021,9.612,17.445,14.41
1,0.068,0.007,0.018,0.097,0.01,0.017,9.471,17.279,14.299
3,0.071,0.005,0.027,0.108,0.01,0.022,9.351,17.037,14.06
0,0.038,0.003,0.018,0.056,0.006,0.019,9.335,16.977,13.954
0,0.031,0.002,0.011,0.043,0.003,0.014,9.283,16.931,13.896
3,0.087,0.003,0.009,0.115,0.005,0.012,9.106,16.802,13.844
3,0.125,0.006,0.019,0.115,0.008,0.015,9.18,16.815,13.838
2,0.049,0.006,0.01,0.064,0.01,0.012,9.288,16.85,13.718
2,0.039,0.008,0.009,0.047,0.011,0.011,9.267,16.763,13.681
2,0.082,0.007,0.013,0.109,0.01,0.012,9.092,16.688,13.756
3,0.062,0.005,0.008,0.099,0.01,0.01,8.931,16.567,13.716
1,0.051,0.004,0.014,0.06,0.007,0.014,8.964,16.712,13.743
4,0.46,0.164,0.201,0.433,0.258,0.151,9.67,18.078,14.378
4,0.05,0.034,0.036,0.069,0.057,0.033,9.416,19.362,15.374
3,0.069,0.005,0.025,0.095,0.008,0.02,9.499,19.226,15.06
1,0.022,0.006,0.015,0.032,0.011,0.017,9.454,18.935,14.694
0,0.045,0.004,0.011,0.044,0.006,0.015,9.492,18.929,14.617
5,0.05,0.004,0.02,0.045,0.005,0.022,9.474,18.743,14.575
2,0.051,0.003,0.016,0.053,0.005,0.015,9.297,18.575,14.526
1,0.024,0.002,0.016,0.031,0.005,0.016,9.21,18.633,14.48
0,0.02,0.004,0.014,0.029,0.007,0.016,9.119,18.601,14.405
2,0.058,0.003,0.019,0.048,0.005,0.019,9.058,18.673,14.536
1,0.036,0.002,0.011,0.044,0.004,0.013,9.002,18.652,14.591
4,0.115,0.007,0.02,0.088,0.009,0.019,9.29,18.772,14.549
1,0.042,0.005,0.019,0.05,0.007,0.02,9.353,18.519,14.37
3,0.021,0.004,0.025,0.03,0.007,0.022,9.294,18.458,14.32
1,0.056,0.006,0.049,0.063,0.009,0.034,9.227,19.061,14.839
2,0.082,0.011,0.02,0.108,0.014,0.023,9.043,19.17,15.061
2,0.036,0.005,0.013,0.045,0.008,0.016,9.028,19.169,14.999
1,0.2,0.057,0.132,0.173,0.043,0.091,9.963,20.263,15.822
11,0.657,0.273,0.176,0.314,0.2,0.121,14.283,23.717,18.467
6,0.556,0.098,0.131,0.479,0.088,0.107,14.71,26.686,20.232
3,0.313,0.169,0.081,0.256,0.113,0.061,10.105,22.185,20.601
1,0.086,0.125,0.063,0.075,0.12,0.048,9.492,21.571,19.372
0,0.186,0.135,0.054,0.1,0.109,0.049,10.079,21.798,19.531
6,0.41,0.163,0.052,0.255,0.132,0.045,11.359,23.373,19.559
3,0.263,0.098,0.052,0.233,0.114,0.046,9.15,22.451,20.266
